t,x,y,yaw,state,front_dist,wall_dist,wall_dist_f,side_min,min_wall_dist
0.0,0.1,0.2,0.0,FOLLOW_WALL,1.445,0.2006,0.2006,0.2006,0.1884
0.05,0.1095,0.2,-0.0054,FOLLOW_WALL,1.3877,0.2025,0.201,0.2021,0.1892
0.1,0.119,0.1999,-0.0106,FOLLOW_WALL,1.3413,0.1971,0.2001,0.1951,0.1894
0.15,0.1285,0.1998,-0.0153,FOLLOW_WALL,1.2909,0.2056,0.2014,0.1971,0.1908
0.2,0.138,0.1997,-0.0199,FOLLOW_WALL,1.2663,0.1968,0.2003,0.1968,0.1881
0.25,0.1475,0.1995,-0.024,FOLLOW_WALL,1.2226,0.2034,0.201,0.2002,0.1899
0.3,0.157,0.1993,-0.028,FOLLOW_WALL,1.1952,0.2012,0.2011,0.2005,0.1857
0.35,0.1665,0.199,-0.0317,FOLLOW_WALL,1.1621,0.1995,0.2007,0.1964,0.1881
0.4,0.176,0.1987,-0.0352,FOLLOW_WALL,1.1395,0.201,0.2008,0.1948,0.1896
0.45,0.1855,0.1984,-0.0384,FOLLOW_WALL,1.1158,0.2,0.2006,0.2,0.1869
0.5,0.195,0.198,-0.0415,FOLLOW_WALL,1.1016,0.1953,0.1993,0.1953,0.1901
0.55,0.2045,0.1976,-0.0442,FOLLOW_WALL,1.0854,0.1978,0.1989,0.1981,0.1894
0.6,0.214,0.1972,-0.0468,FOLLOW_WALL,1.0708,0.2028,0.1999,0.1883,0.1871
0.65,0.2234,0.1968,-0.0493,FOLLOW_WALL,1.0548,0.1953,0.1988,0.1913,0.1871
0.7,0.2329,0.1963,-0.0515,FOLLOW_WALL,1.0327,0.201,0.1993,0.1949,0.1868
0.75,0.2424,0.1958,-0.0536,FOLLOW_WALL,1.0094,0.1976,0.1989,0.1884,0.186
0.8,0.2519,0.1953,-0.0556,FOLLOW_WALL,1.0038,0.1956,0.1981,0.1923,0.1861
0.85,0.2614,0.1948,-0.0574,FOLLOW_WALL,0.9974,0.1925,0.1968,0.1863,0.1851
0.9,0.2709,0.1942,-0.059,FOLLOW_WALL,0.9839,0.197,0.1968,0.1912,0.1816
